Image_Link,Brand_Name,tiles_Description,Info1,Price_Per_SqFt,Price_Per_Box,Category 
https://dpy2z8n9cxui1.cloudfront.net/V000530/aspire-crema-colortile-tiles/aspire-crema-600x600-mm-finish-gvt-tile-8-8-mm/1.jpg?width=240,Colortile,Aspire Crema 600x600 mm Glossy Finish GVT Tile - 8.8 mm,Vitrified600x600 mm,73,1121,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001308/venetian-decor-skyart-tiles/venetian-decor-moroccan-200x200-mm-matte-finish-ceramic-tile/1.png?width=240,Skyart,Venetian Decor 200x200 mm Matte Finish Ceramic Tile,Ceramic200x200 mm,205,1758,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001246/7039-400x400-mm-plain-punch-finish-heavy-duty-parking-vitrified-floor-tile-12-mm-ramco-tiles/7039-400x400-mm-plain-punch-finish-heavy-duty-parking-vitrified-floor-tile-12-mm/1.png?width=240,Ramco Tiles,7039 400x400 mm Plain Punch Finish Heavy Duty Parking Vitrified Floor Tile - 12 mm,Vitrified400x400 mm,53,452,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000843/1045-hl-1-450x300-mm-ceramic-wall-tile-nandi-ceramic-tiles/1045-hl-1-450x300-mm-ceramic-wall-tile/basic-pattern/1.jpg?width=240,Cap,1045 HL 1 450x300 mm Bathroom Series Glossy Finish Ceramic Wall Tile - 7 mm,Ceramic450x300 mm,40,342,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000548/rey-lunesis-brown-1600x800-mm-glossy-finish-random-design-tile-reycera-tiles/rey-lunesis-brown-1600x800-mm-glossy-finish-random-design-tile/1.png?width=240,Rey +,Rey Lunesis Brown 1600x800 mm Glossy Finish Glaze Vitrified Floor and Wall Tile - 9 mm,Vitrified1600x800 mm,95,2606,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000843/9524-hl-1-450x300-mm-ceramic-wall-tile-nandi-ceramic-tiles/9524-hl-1-450x300-mm-ceramic-wall-tile/2.png?width=240,Cap,9524 HL 1 450x300 mm God Series Ceramic Wall Tile - 7 mm,Ceramic450x300 mm,40,342,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000868/athens-grey-d1/athens-grey-d1-600x300-mm-glossy-finish-digital-wall-tile/1.png?width=240,Emilus,Athens Grey D1 600x300 mm Glossy Finish Digital Wall Tile- 9 mm,Ceramic600x300 mm,80,769,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001235/buttons-terracotta-300x300-mm-matte-finish-heavy-duty-gvt-parking-tile-10-mm/buttons-terracotta-vitrified/1.jpg?width=240,Redwood Ceramic,Buttons - Terracotta 300x300 mm Matte Finish Heavy Duty GVT Parking Tile - 10 mm,Vitrified300x300 mm,51,392,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000548/mozart-grey-1200x600-mm-lenza-punch-full-body-tile-reycera-tiles/mozart-grey-1200x600-mm-lenza-punch-full-body-tile/1.png?width=240,Rey +,Mozart Grey 1200x600 mm Matte Finish Full Body Wall Tile - 9 mm,Vitrified1200x600 mm,203,3133,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000548/mozart-stone-1200x600-mm-matte-finish-terrazzo-collection-full-body-tile-reycera-tiles/mozart-stone-1200x600-mm-matte-finish-terrazzo-collection-full-body-tile/1.png?width=240,Rey +,Mozart Stone 1200x600 mm Matte Finish Terrazzo Collection Full Body Floor and Wall Tile - 9 mm,Vitrified1200x600 mm,112,1728,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000868/marina-blue-decor-1/marina-blue-decor-1-600x300-mm-glossy-finish-digital-wall-tile/1.png?width=240,Emilus,Marina Blue Decor 1 600x300 mm Glossy Finish Digital Wall Tile- 9 mm,Ceramic600x300 mm,80,769,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000548/rey-atrix-beige-1600x800-mm-glossy-finish-random-design-tile-reycera-tiles/rey-atrix-beige-1600x800-mm-glossy-finish-random-design-tile/1.png?width=240,Rey +,Rey Atrix Beige 1600x800 mm Glossy Finish Glaze Vitrified Floor and Wall Tile - 9 mm,Vitrified1600x800 mm,95,2606,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000440/dior-aqua-prima-1200x600-mm-prime-gloss-finish-gvt-tile-10-mm/dior-aqua-prima-1200x600-mm-prime-gloss-finish-gvt-tile-10-mm/1.png?width=240,Sonex Tiles,Dior Aqua Prima 1200x600 mm Prime Gloss Finish GVT Tile - 9.5 mm,Vitrified1200x600 mm,71,1092,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000606/sukre-1102-600x600-mm-matte-finish-vitrified-tile-6-mm-allen-cera-tiles/sukre-1102-600x600-mm-matte-finish-vitrified-tile-6-mm/1.png?width=240,Allen Cera,Sukre-1102 600x600 mm Matte Finish Vitrified Tile - 6 mm,Vitrified600x600 mm,64,985,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000607/4102-450x300-mm-cadbury-ceramic/4102-ahl-glossy-12x18-consept/1.jpg?width=240,Cadbury Ceramic,4102 - AHL 450x300 mm Glossy Finish Ceramic Tile,Ceramic450x300 mm,41,351,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000607/1158-450x300-mm-cadbury-ceramic/1158-bhl-glossy-12x18-consept/1.jpg?width=240,Cadbury Ceramic,1158 - BHL 450x300 mm Glossy Finish Ceramic Tile,Ceramic450x300 mm,41,351,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001281/5239-glossy-series/5239-lt-random-glossy-series/1.png?width=240,Rextron Ceramic,5239 LT 450x300 mm Glossy Finish Glossy Series Ceramic Tile 6 mm,Ceramic450x300 mm,41,351,Tiles
